

E-text prepared by sp1nd and the Online Distributed Proofreading Team
(http://www.pgdp.net) from page images generously made available by
Internet Archive (https://archive.org)



Note: Images of the original pages are available through
      Internet Archive. See
      https://archive.org/details/crippscarrierwoo00blac


Transcriber's note:

      Text enclosed by underscores is in italics (_italics_).





CRIPPS, THE CARRIER.

A WOODLAND TALE.

by

RICHARD DODDRIDGE BLACKMORE,

Author of "Lorna Doone," "Alice Lorraine," etc.


    [Greek: ar estin hemin logidion gnomen echon,
    humn men auton ouchi dexioteron,
    kompsdias de photikes sophoteron;]

    AR. VESP. 64.


New Edition







London:
Sampson Low, Marston & Company, Limited,
St. Dunstan's House,
Fetter Lane, Fleet Street, E.C.
1892.

[All rights reserved.]


      *      *      *      *      *      *

    BY THE SAME AUTHOR.


    LORNA DOONE.

        (_Illustrated, edition de luxe, parchment, 35s.; plainer
        bindings, 31s. 6d., 21s., and 7s. 6d._)

    ALICE LORRAINE.
    CLARA VAUGHAN.
    CRADOCK NOWELL,
    CRIPPS, THE CARRIER.
    MARY ANERLEY.
    EREMA: or, My Father's Sin.
    CHRISTOWELL: A Dartmoor Tale.
    TOMMY UPMORE.
    SPRINGHAVEN.
    KIT AND KITTY.

    LONDON:
    SAMPSON LOW, MARSTON & COMPANY, LIMITED.
    FETTER LANE. FLEET STREET, E.C.

      *      *      *      *      *      *


CONTENTS.


CHAPTER                                           PAGE
did the old man good. His faith in the Lord, when beginning to flag,
was renewed by fibs of this good old woman; and each confirmed the
other.

In former days he would have resented and nipped in the
bud--kind-hearted as he was--John Smith's familiarity. But now he had
no heart to care about any of such trifles. He begged Mr. Smith to
take a chair, quite as if he were waiting to be invited; then, weak as
he was, he tottered to the bell-pull, rather than ask his guest to
ring. John Smith jumped up to help, but felt uncertain what good
manners were.

"Mary," said the Squire, when Mary came; "you always look out of the
window, I think, to see the people come out of church."

"Never, sir, never! Except whenever I feels wicked not to a' been
there myself. Such time it seemeth to do me good; like smelling of the
good words over there."

"Yes, that is very right. All I want to know is whether Mr. Warbelow
is coming up here."

"No, sir; not this time, I believe. He seemed to have got a young
lady with un, as wore a blue cloak with three slashes to the sleeve,
and a bonnet with yellow French roses in it, and a striped skirt,
made of the very same stuff as I seed in to Cavell's--no, not
Cavell's--t'other shop over the way, round the corner; likewise her
had----"

"Then, Mary, bring in the dinner, if you please. This gentleman will
dine with me, instead of Mr. Warbelow."

"Well now, if I ever did!" Miss Hookham exclaimed to herself in the
passage. "Why, a must be a sort of a gentleman! Master wouldn't dine
along of Master Cripps; but to my mind Zak be the gentleman afore he!"

The Squire's oblique little sarcasm--if sarcasm at all it were--failed
to hit Mr. Smith altogether; he cordially accepted plate and spoon,
and fell to at the soup, which was excellent. The soup was followed by
a fine sirloin; whereupon Mr. Oglander, through some association of
ideas, could not suppress a little sigh.

"Never sigh at your meat, sir," cried Mr. Smith; "give me the
carving-knife, sir, if you are unequal to the situation. To sigh at
such a sirloin--oh fie, oh fie!"

"I was thinking of some one who always used to like the brown," the
old man said, in the simplest manner, as if an apology were needed.

"Well, sir, I like the brown very much! I will put it by for myself,
sir, and help you to an inner slice. Here, Mary, a plate for your
master! Quick! Everything will be cold, my goodness! And who sliced
this horse-radish, pray? for slicing it is, not scraping."

Mary was obliged to bite her tongue to keep it in any way mannersome;
when the door was thrown open, and in came her mother, with her face
quite white, and both hands stretched on high.

"Oh my! oh my! a sin I call it--a wicked, cruel, sinful sin!" Widow
Hookham exclaimed as soon as she could speak. "All over the village,
all over the parish, in two days' time at the latest it will be. Oh,
how could your Worship allow of it?"

"Give your mamma a glass of wine, my dear," said Mr. John Smith, as
the widow fell back, with violent menace of fainting, or worse; while
the poor Squire, expecting some new blow, folded his tremulous hands
to receive it. "Take a good drink, ma'am, and then relieve your
system."

"That Cripps! oh, that Cripps!" exclaimed Mrs. Hookham, as soon as the
wine, which first "went the wrong way," had taken the right direction;
"if ever a darter of mine hath Cripps, in spite of two stockings of
money, they say----"

"What is it about Cripps?" asked the Squire, in a voice that required
an immediate answer. The first news of his trouble had come through
Cripps; and now, in his helpless condition, he always connected the
name of the Carrier with the solution, if one there should be.

"He hath done a thing he ought to be ashamed on!" screamed Mrs.
Hookham, with such excitement, that they were forced to give her
another glass of wine; "he hath brought into this parish, and the
buzzum of his family, pestilence and death, he hath! And who be he to
do such a thing, a road-faring, twopenny carrier?"

"Cripps charges a good deal more than twopence," said Mr. Oglander
quietly; for his hopes and fears were once more postponed.

"He hath brought the worst load ever were brought!" cried the widow,
growing eloquent. "Black death, and the plague, and the murrain of
Egypt hath come in through Cripps the Carrier! How much will he charge
Beckley, your Worship? How much shall Beckley pay him, when she
mourneth for her children? when she spreadeth forth her hands and
seeketh north and south, and cannot find them, because they are not?"

"What is it, good woman?" cried Smith, impatiently, "what is all this
uproar? do tell us, and have done with it?"

"Good man," replied Widow Hookham tartly, "my words are addressed to
your betters, sir. Your Worship knoweth well that Master Kale hath
leave and license for his Sunday dinner; ever since his poor wife
died, he sitteth with a knife and fork to the right side of our
cook-maid. He were that genteel, I do assure you, although his
appearance bespeaketh it not, and city gents may look down on him; he
had such a sense of propriety, not a word did he say all the time of
dinner to raise an objection to the weakest stomach. But as soon as he
see that all were done, and the parlour dinner forward, he layeth his
finger on his lips, and looketh to me as the prime authority; and when
I ask him to speak out, no secrets being among good friends, what he
said were a deal too much for me, or any other Christian person."

"Well, well, ma'am, if your own dinner was respected, you might have
showed some respect for ours," Mr. Smith exclaimed very sadly,
beholding the gravy in the channelled dish margined with grease, and
the noble sirloin weeping with lost opportunity. But Mr. Oglander took
no notice. To such things he was indifferent now.

"To keep the mind dwelling upon earthly victuals," the widow replied
severely, "on the Lord's Day, and with the Day of the Lord a-hanging
special over us--such things is beyond me to deal with, and calls for
Mr. Warbelow. Carrier Cripps hath sent his sister over to nurse Squire
Overshute!"

John Smith pretended to be busy with his beef, but Mary, who made a
point of watching whatever he did (without well knowing why), startled
as she was by her mother's words, this girl had her quick eyes upon
his face, and was sure that it lost colour, as the carved sirloin of
